service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1303-Collier-Weekday-24,1,1,1,1,1,0,0,20130317,20130608
1303-Collier-Saturday-72,0,0,0,0,0,1,0,20130317,20130608
1303-Collier-Sunday-12,0,0,0,0,0,0,1,20130317,20130608
1303-Liberty-Weekday-24,1,1,1,1,1,0,0,20130317,20130608
1303-Liberty-Saturday-71,0,0,0,0,0,1,0,20130317,20130608
1303-Liberty-Sunday-11,0,0,0,0,0,0,1,20130317,20130608
1303-Mifflin-Weekday-28,1,1,1,1,1,0,0,20130317,20130608
1303-Mifflin-Saturday-73,0,0,0,0,0,1,0,20130317,20130608
1303-Mifflin-Sunday-13,0,0,0,0,0,0,1,20130317,20130608
1303-Ross-Weekday-23,1,1,1,1,1,0,0,20130317,20130608
1303-Ross-Saturday-72,0,0,0,0,0,1,0,20130317,20130608
1303-Ross-Sunday-12,0,0,0,0,0,0,1,20130317,20130608
1303-Village-Weekday-25,1,1,1,1,1,0,0,20130317,20130608
1303-Village-Saturday-75,0,0,0,0,0,1,0,20130317,20130608
1303-Village-Sunday-15,0,0,0,0,0,0,1,20130317,20130608
W,1,1,1,1,1,0,0,20130317,20130608
S,0,0,0,0,0,1,0,20130317,20130608
U,0,0,0,0,0,0,1,20130317,20130608
