stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
E00175,,"26TH ST AT PENN AVE FS (SPRING WAY)",,  40.454635, -79.978170,01
E00180,,"28TH ST AT LIBERTY AVE",,  40.456288, -79.974651,01
E00270,,"32ND ST AT SPRING WAY",,  40.460347, -79.969436,01
E00420,,"40TH ST AT BUTLER",,  40.468655, -79.962115,01
E00430,,"40TH ST AT DAVIDSON FS",,  40.467676, -79.960929,01
E00445,,"40TH ST AT GOVERNMENT WAY STEPS",,  40.466149, -79.958976,01
E00500,,"40TH ST OPP DAVIDSON ST",,  40.467585, -79.961076,01
E00750,,"4TH ST AT COREY",,  40.408603, -79.867697,1A
E00910,FIFTHAIKEN,"5TH AVE AT AIKEN AVE",,  40.448529, -79.934107,01
E00920,,"5TH AVE AT AMBERSON AVE",,  40.447751, -79.938742,01
E00950,,"5TH AVE AT BEECHWOOD BLVD",,  40.453480, -79.915595,01
E00970,,"5TH AVE AT BELLEFIELD AVE",,  40.446704, -79.951806,01
E00975,,"5TH AVE AT BELLEFIELD AVE",,  40.446296, -79.952021,01
E00980,,"5TH AVE AT BELLEFONTE ST",,  40.449028, -79.932476,01
E01000,,"5TH AVE AT BIGELOW BLVD (PITT)",,  40.444618, -79.954707,01
E01010,,"5TH AVE AT BIGELOW BLVD (PITT)",,  40.444299, -79.954840,01
E01030,,"5TH AVE AT BIRMINGHAM BRIDGE",,  40.437690, -79.973041,01
E01040,,"5TH AVE AT BRENHAM ST FS",,  40.436479, -79.968584,01
E01050,,"5TH AVE AT CHESTERFIELD RD",,  40.439525, -79.961689,01
E01090,,"5TH AVE AT COLLEGE ST",,  40.451317, -79.925679,01
E01130,,"5TH AVE AT CRAFT AVE (CARLOW UNIV)",,  40.437698, -79.964185,01
E01140,,"5TH AVE AT CRAIG ST",,  40.447078, -79.948856,01
E01150,,"5TH AVE AT CRAIG ST NS",,  40.446795, -79.949505,01
E01180,,"5TH AVE AT DESOTO",,  40.442326, -79.957877,01
E01190,,"5TH AVE AT DINWIDDIE ST",,  40.438399, -79.980575,01
E01210,,"5TH AVE AT MCKEE PL FS",,  40.440634, -79.959848,01
E01225,,"5TH AVE AT HALKET ST",,  40.438955, -79.962128,01
E01230,,"5TH AVE AT HAMILTON",,  40.457435, -79.909041,01
E01260,,"5TH AVE AT HIGHLAND AVE",,  40.451996, -79.923883,01
E01310,,"5TH AVE AT KIRKPATRICK ST FS",,  40.437895, -79.973003,01
E01330,,"5TH AVE AT MAGEE ST",,  40.438743, -79.988105,01
E01335,,"5TH AVE AT MEYRAN AVE",,  40.441102, -79.959195,01
E01350,,"5TH AVE AT MARYLAND AVE",,  40.450614, -79.927359,01
E01360,FIFTHOAKLAND,"5TH AVE AT OAKLAND AVE",,  40.442077, -79.957855,01
E01370,,"5TH AVE OPP MCPHERSON ST FS",,  40.455534, -79.910929,01
E01380,,"5TH AVE AT MCPHERSON ST",,  40.455609, -79.910532,01
E01400,,"5TH AVE AT #2410 (ACTA PROGRAM)",,  40.436766, -79.970267,01
E01410,FIFTHMOREIN,"5TH AVE AT MOREWOOD AVE",,  40.447468, -79.942352,01
E01420,FIFTHMOREOUT,"5TH AVE AT MOREWOOD AVE",,  40.447283, -79.942673,01
E01440,,"5TH AVE AT MOULTRIE ST",,  40.437902, -79.974559,01
E01450,,"5TH AVE AT MOULTRIE ST FS",,  40.438097, -79.974410,01
E01460,FIFTHNEGLEY,"5TH AVE AT NEGLEY AVE",,  40.449884, -79.929590,01
E01470,,"5TH AVE AT NEGLEY AVE",,  40.449721, -79.929700,01
E01480,,"5TH AVE AT NEVILLE ST",,  40.447164, -79.947203,01
E01500,,"5TH AVE AT NEVILLE ST",,  40.446993, -79.947425,01
E01530,,"5TH AVE AT LAMAR MEDIA (#2610)",,  40.437022, -79.965584,01
E01540,,"5TH AVE AT PRIDE ST",,  40.438585, -79.984902,01
E01550,,"5TH AVE AT ROBINSON ST",,  40.437655, -79.965223,01
E01560,,"5TH AVE AT MAURICE ST",,  40.437411, -79.965357,01
E01570,,"5TH AVE AT #2358",,  40.437055, -79.971135,01
E01640,,"5TH AVE AT SENECA ST",,  40.438022, -79.976035,01
E01650,,"5TH AVE AT SHADY AVE",,  40.452952, -79.920671,01
E01660,,"5TH AVE AT SHADY AVE",,  40.452814, -79.920807,01
E01700,,"5TH AVE AT STEVENSON ST",,  40.438652, -79.986317,01
E01710,,"5TH AVE AT TENNYSON AVE",,  40.445676, -79.953221,01
E01720,,"5TH AVE OPP TENNYSON AVE",,  40.445488, -79.953131,01
E01730,,"5TH AVE AT THACKERAY AVE",,  40.443261, -79.956444,01
E01760,,"5TH AVE AT THOMAS BLVD",,  40.454729, -79.911486,01
E01810,,"5TH AVE AT WASHINGTON PL",,  40.438844, -79.990723,01
E01820,,"5TH AVE AT WILKINS AVE FS",,  40.447738, -79.936970,01
E01840,,"5TH AVE AT WYANDOTTE ST",,  40.438258, -79.977353,01
E01860,,"5TH AVE OPP AMBERSON AVE",,  40.447534, -79.939104,01
E01870,FIFTHATWOOD,"5TH AVE OPP ATWOOD ST",,  40.441802, -79.958488,01
E01890,,"5TH AVE OPP BEECHWOOD BLVD",,  40.453713, -79.915229,01
E01900,,"5TH AVE OPP BELLEFONTE ST",,  40.448788, -79.932562,01
E01910,,"5TH AVE OPP BRENHAM ST",,  40.436341, -79.968608,01
E01920,,"5TH AVE OPP CLYDE ST",,  40.447089, -79.945377,01
E01930,,"5TH AVE OPP COLLEGE ST",,  40.451087, -79.925842,01
E01940,,"5TH AVE OPP CRAFT AVE (CARLOW UNIV)",,  40.437916, -79.963899,01
E01960,,"5TH AVE OPP GIST ST",,  40.438340, -79.979468,01
E01980,,"5TH AVE OPP HIGHLAND AVE",,  40.451835, -79.924005,01
E01990,,"5TH AVE OPP MARYLAND AVE",,  40.450432, -79.927451,01
E02010,,"5TH AVE OPP #2410 (ACTA PROGRAM)",,  40.436903, -79.970166,01
E02030,,"5TH AVE OPP #2358",,  40.437175, -79.970989,01
E02040,,"5TH AVE OPP SENECA ST",,  40.438199, -79.975867,01
E02050,,"5TH AVE OPP THACKERAY AVE",,  40.443079, -79.956461,01
E02070,,"5TH AVE OPP THOMAS BLVD",,  40.454925, -79.911557,01
E02080,,"5TH AVE OPP VAN BRAAM ST",,  40.438504, -79.982631,01
E02090,,"5TH AVE OPP WILKINS AVE",,  40.447846, -79.937050,01
E02100,,"5TH ST AT BRINTON",,  40.385835, -79.760561,02
E02110,,"5TH ST AT CAVIT",,  40.385732, -79.760090,02
E02180,,"6TH ST AT BRINTON",,  40.387465, -79.759974,02
E02200,,"6TH ST AT CAVIT",,  40.387275, -79.759144,02
E02220,,"6TH ST AT FAIRMONT",,  40.386690, -79.756483,02
E02230,,"6TH ST AT FOREST",,  40.386869, -79.757481,02
E02240,,"6TH ST AT GILMORE",,  40.386461, -79.755428,02
E02243,,"6TH ST AT KNAPP'S GARAGE",,  40.406279, -79.862418,02
E02245,,"6TH ST AT BALDRIDGE",,  40.405727, -79.863519,02
E02260,,"6TH ST OPP DUQUESNE",,  40.387100, -79.758380,02
E02280,,"6TH ST OPP HOMEWOOD",,  40.386244, -79.754453,02
E02290,,"6TH ST OPP INWOOD",,  40.385847, -79.752900,02
E02430,,"7TH ST AT PROSPECT",,  40.386382, -79.752605,02
E02450,,"7TH ST AT #640",,  40.386976, -79.755221,02
E02470,,"7TH ST AT #756",,  40.386682, -79.753985,02
E02770,,"ABER RD AT GROVE",,  40.467845, -79.865294,01
E02790,,"ABER RD AT #8077",,  40.469171, -79.862215,01
E02810,,"ABER RD AT #8141",,  40.471007, -79.861553,01
E02850,,"ABER RD AT URBAN",,  40.467325, -79.869360,01
E02870,,"ABER RD OPP HARVEST",,  40.473450, -79.861848,01
E02890,,"ADELAIDE ST AT CAMP",,  40.453361, -79.957913,01
E02900,,"ADELAIDE ST AT IOWA FS",,  40.452942, -79.956694,01
