route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
020-143,1303-Collier-Weekday-24,7021792-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088928,0200020
020-143,1303-Collier-Weekday-24,7021793-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088931,0200020
020-143,1303-Collier-Weekday-24,7021794-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088934,0200020
020-143,1303-Collier-Weekday-24,7021795-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088928,0200020
020-143,1303-Collier-Weekday-24,7021796-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088931,0200020
020-143,1303-Collier-Weekday-24,7021797-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088934,0200020
020-143,1303-Collier-Weekday-24,7021798-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088928,0200020
020-143,1303-Collier-Weekday-24,7021799-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088953,0200020
020-143,1303-Collier-Weekday-24,7021800-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088938,0200020
020-143,1303-Collier-Weekday-24,7021801-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088939,0200020
020-143,1303-Collier-Weekday-24,7021802-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088940,0200020
020-143,1303-Collier-Weekday-24,7021803-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088941,0200020
020-143,1303-Collier-Weekday-24,7021804-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088942,0200020
020-143,1303-Collier-Weekday-24,7021805-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088955,0200020
020-143,1303-Collier-Weekday-24,7021806-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088944,0200020
020-143,1303-Collier-Weekday-24,7021807-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088945,0200020
020-143,1303-Collier-Weekday-24,7021808-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088955,0200020
020-143,1303-Collier-Weekday-24,7021809-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088947,0200020
020-143,1303-Collier-Weekday-24,7021810-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088958,0200020
020-143,1303-Collier-Weekday-24,7021811-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1089030,0200020
020-143,1303-Collier-Weekday-24,7021812-1303-Collier-Weekday-24,Inbound-KENNEDY TO DOWNTOWN,1,1088958,0200020
020-143,1303-Collier-Weekday-24,7021813-1303-Collier-Weekday-24,Outbound-KENNEDY TO HERBST ROAD,0,1088928,0200018
